01_Presence Condition,02_Total Lines in Code,03_Line Coverage Precentage
!((transmission == automatic)),2,13.33
!((engine == electric)) && !((engine == hybrid)),2,13.33
(!((color == white) || (color == red))) && !((color != black)),2,13.33
(transmission == automatic),1,6.67
(engine == electric),1,6.67
!((engine == electric)),1,6.67
!((engine == electric)) && (engine == hybrid),1,6.67
clutch,1,6.67
(color == red),1,6.67
(color == white) || (color == red),1,6.67
!((color == white) || (color == red)),1,6.67
(!((color == white) || (color == red))) && (color != black),1,6.67
