0_Statistics,Value
Required Features in Source Code,43
Required Features NOT in Source Code,29
Total Required Features,72
Textual Requirements NOT Implemented in Source Code,46
Total Textual Requirements,106
Features in Source Code Specified in Requirements,43
Features in Source Code NOT Specified in Requirements,1
Total Features in Source Code,44
Total Presence Conditions in Source Code,80
Implemented Lines NOT Specified by Requirements,13
Total Variability Lines of Code,773
Total Lines of Code Analyzed,27732
Total Files Processed,157
Total Minimal Set of Configurations,7
Total Identified Inconsistencies,1
Are Variability Requirements and Source Code Consistent?,No
