0_Statistics,Value
Required Features in Source Code,4
Required Features NOT in Source Code,1
Total Required Features,5
Textual Requirements NOT Implemented in Source Code,1
Total Textual Requirements,10
Features in Source Code Specified in Requirements,4
Features in Source Code NOT Specified in Requirements,0
Total Features in Source Code,4
Total Presence Conditions in Source Code,13
Implemented Lines NOT Specified by Requirements,0
Total Variability Lines of Code,17
Total Lines of Code Analyzed,60
Total Files Processed,1
Total Minimal Set of Configurations,4
Total Identified Inconsistencies,1
Are Variability Requirements and Source Code Consistent?,No
